model,branch,ms,fps,mAP,maker,release date,update,data source,test env
YOLOv5,N,2.6,-1,28,.,May-20,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,S,3.2,-1,37.6,.,May-20,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.6/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,M,5.2,-1,45.4,.,May-20,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.7/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,L,7.9,-1,48.9,.,May-20,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.8/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,X,13.7,-1,50.6,.,May-20,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,S,3,-1,40.4,.,Jul-21,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,M,5.8,-1,46.9,.,Jul-21,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,L,9.3,-1,50.1,.,Jul-21,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,X,16.6,-1,51.8,.,Jul-21,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv7,L,7.4,-1,51,.,Jul-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv7,X,12.2,-1,53,.,Jul-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
DAMO-YOLO,T,2.78,-1,43,.,Nov-22,2023/1/16,https://github.com/tinyvision/DAMO-YOLO,T4/FP16/trt8
DAMO-YOLO,S,3.83,-1,46.8,.,Nov-22,2023/1/16,https://github.com/tinyvision/DAMO-YOLO,T4/FP16/trt8
DAMO-YOLO,M,5.62,-1,50,.,Nov-22,2023/1/16,https://github.com/tinyvision/DAMO-YOLO,T4/FP16/trt8
RTMDet,T,2.8,-1,40.9,.,Dec-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
RTMDet,S,3.3,-1,44.5,.,Dec-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
RTMDet,M,6.4,-1,49.1,.,Dec-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
RTMDet,L,10.2,-1,51.2,.,Dec-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
RTMDet,X,18,-1,52.6,.,Dec-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv8,N,2.4,-1,37.3,.,Jan-23,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv8,S,3.4,-1,44.9,.,Jan-23,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv8,M,6.5,-1,50.2,.,Jan-23,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv8,L,10,-1,52.8,.,Jan-23,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv8,X,15.1,-1,53.8,.,Jan-23,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv6_v3.0,N,1.3,-1,37.5,.,Jan-23,2023/1/16,https://arxiv.org/pdf/2301.05586.pdf,T4/FP16/trt7
YOLOv6_v3.0,S,2.9,-1,45,.,Jan-23,2023/1/16,https://arxiv.org/pdf/2301.05586.pdf,T4/FP16/trt7
YOLOv6_v3.0,M,5.7,-1,50,.,Jan-23,2023/1/16,https://arxiv.org/pdf/2301.05586.pdf,T4/FP16/trt7
YOLOv6_v3.0,L,10.3,-1,53.1,.,Jan-23,2023/1/16,https://arxiv.org/pdf/2301.05586.pdf,T4/FP16/trt7
PP-YOLOE+,S,2.9,-1,43.7,*,Sep-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
PP-YOLOE+,M,6,-1,49.8,*,Sep-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
PP-YOLOE+,L,8.7,-1,52.9,*,Sep-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
PP-YOLOE+,X,14.9,-1,54.7,*,Sep-22,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
