model,branch,ms,fps,mAP,maker,release date,update,data source,test env
YOLOv5,N,1.9,-1,28,.,20-May,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,S,7.2,-1,37.6,.,20-May,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.6/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,M,21.2,-1,45.4,.,20-May,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.7/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,L,46.5,-1,48.9,.,20-May,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.8/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv5,X,86.7,-1,50.6,.,20-May,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,S,9,-1,40.4,.,21-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,M,25.3,-1,46.9,.,21-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,L,54.2,-1,50.1,.,21-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOX,X,99.1,-1,51.8,.,21-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv7,L,37.62,-1,51,.,22-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
YOLOv7,X,71.34,-1,53,.,22-Jul,2023/1/16,https://github.com/PaddlePaddle/PaddleYOLO/blob/release/2.5/docs/MODEL_ZOO_cn.md,T4/FP16/trt8
DAMO-YOLO,T,8.5,-1,43,.,22-Nov,2023/1/16,https://github.com/tinyvision/DAMO-YOLO,T4/FP16/trt8
DAMO-YOLO,S,16.3,-1,46.8,.,22-Nov,2023/1/16,https://github.com/tinyvision/DAMO-YOLO,T4/FP16/trt8
