model,branch,ms,fps,mAP,maker
YOLOv5,n,6.3,-1,28,.
YOLOv5,s,6.4,-1,37.4,.
YOLOv5,m,8.2,-1,45.4,.
YOLOv5,l,10.1,-1,49,.
YOLOv5,x,12.1,-1,50.7,.
YOLOv6,N,-1,779,37.5,s
YOLOv6,S,-1,339,45,s
YOLOv6,M,-1,175,50,s
YOLOv6,L,-1,98,52.8,s
YOLOv6-2.0,N6,-1,228,44.9,x
YOLOv6-2.0,S6,-1,98,50.3,x
YOLOv6-2.0,M6,-1,47,55.2,x
YOLOv6-2.0,L6,-1,26,57.2,x
YOLOv7,L,12.2,-1,51,v
YOLOv7,X,19.4,-1,53,v
YOLOv8,n,5.6,-1,37.3,o
YOLOv8,s,5.7,-1,44.9,o
YOLOv8,m,8.3,-1,50.2,o
YOLOv8,l,13.1,-1,52.9,o
YOLOv8,x,20.4,-1,53.9,o
YOLOv8-seg,n-seg,11.3,-1,30.7,p
YOLOv8-seg,s-seg,11.4,-1,37,p
YOLOv8-seg,m-seg,15.3,-1,40.6,p
YOLOv8-seg,l-seg,16.8,-1,42.5,p
YOLOv8-seg,x-seg,23.8,-1,43.2,p
