{'loss': 13.3247, 'grad_norm': 274.79765799244865, 'learning_rate': 0.0002, 'epoch': 0.01}
{'loss': 12.959, 'grad_norm': 217.1427744528247, 'learning_rate': 0.0004, 'epoch': 0.02}
{'loss': 10.0544, 'grad_norm': 54.6807695443335, 'learning_rate': 0.0008, 'epoch': 0.03}
{'loss': 40.0117, 'grad_norm': 345.42176094179257, 'learning_rate': 0.001, 'epoch': 0.03}
{'loss': 29.4648, 'grad_norm': 293.63161645858577, 'learning_rate': 0.0009998917893031614, 'epoch': 0.04}
{'loss': 14.7905, 'grad_norm': 107.64133328545186, 'learning_rate': 0.0009995672040508656, 'epoch': 0.04}
{'loss': 10.4011, 'grad_norm': 53.56760156967312, 'learning_rate': 0.0009990263847374976, 'epoch': 0.05}
{'loss': 9.2124, 'grad_norm': 28.13532257535121, 'learning_rate': 0.0009982695654527965, 'epoch': 0.06}
{'loss': 9.8577, 'grad_norm': 20.970012299907427, 'learning_rate': 0.0009972970737805312, 'epoch': 0.06}
{'loss': 9.5713, 'grad_norm': 19.08898577821852, 'learning_rate': 0.0009961093306567075, 'epoch': 0.07}
{'loss': 8.8416, 'grad_norm': 18.456439239049793, 'learning_rate': 0.00099470685018737, 'epoch': 0.08}
{'loss': 8.8267, 'grad_norm': 16.751892593646247, 'learning_rate': 0.0009930902394260745, 'epoch': 0.08}
{'loss': 8.5441, 'grad_norm': 16.758408650106972, 'learning_rate': 0.0009912601981111285, 'epoch': 0.09}
{'loss': 8.2969, 'grad_norm': 9.651561269996273, 'learning_rate': 0.000989217518362716, 'epoch': 0.1}
{'loss': 8.1541, 'grad_norm': 6.35246851571837, 'learning_rate': 0.000986963084340033, 'epoch': 0.1}
{'loss': 8.0247, 'grad_norm': 5.946657930373748, 'learning_rate': 0.0009844978718585855, 'epoch': 0.11}
{'loss': 7.7036, 'grad_norm': 5.2340777379469285, 'learning_rate': 0.0009818229479678158, 'epoch': 0.12}
{'loss': 7.8181, 'grad_norm': 4.754085092552073, 'learning_rate': 0.0009789394704892364, 'epoch': 0.12}
{'loss': 7.7974, 'grad_norm': 4.378488013106178, 'learning_rate': 0.0009758486875152766, 'epoch': 0.13}
{'loss': 7.7769, 'grad_norm': 4.173901372803682, 'learning_rate': 0.0009725519368690539, 'epoch': 0.13}
{'loss': 7.5269, 'grad_norm': 4.120861664277592, 'learning_rate': 0.0009690506455253072, 'epoch': 0.14}
{'loss': 7.6575, 'grad_norm': 3.62742247876934, 'learning_rate': 0.000965346328992741, 'epoch': 0.15}
{'loss': 7.5067, 'grad_norm': 3.4672709008981974, 'learning_rate': 0.0009614405906580486, 'epoch': 0.15}
{'loss': 7.4841, 'grad_norm': 2.9743471913392017, 'learning_rate': 0.0009573351210918975, 'epoch': 0.16}
{'loss': 7.4661, 'grad_norm': 3.087586150669912, 'learning_rate': 0.000953031697317178, 'epoch': 0.17}
{'loss': 7.2271, 'grad_norm': 2.9030206321457532, 'learning_rate': 0.0009485321820398321, 'epoch': 0.17}
{'loss': 7.0156, 'grad_norm': 2.461066845657519, 'learning_rate': 0.0009438385228425939, 'epoch': 0.18}
{'loss': 7.0973, 'grad_norm': 2.451541481087895, 'learning_rate': 0.0009389527513419935, 'epoch': 0.19}
{'loss': 7.1892, 'grad_norm': 2.3862265407677454, 'learning_rate': 0.0009338769823089853, 'epoch': 0.19}
{'loss': 6.8342, 'grad_norm': 2.243132509753661, 'learning_rate': 0.0009286134127535859, 'epoch': 0.2}
{'loss': 6.8745, 'grad_norm': 2.0714523927676525, 'learning_rate': 0.0009231643209739127, 'epoch': 0.2}
{'loss': 6.8798, 'grad_norm': 2.090691945767049, 'learning_rate': 0.0009175320655700406, 'epoch': 0.21}
{'loss': 6.9299, 'grad_norm': 2.1467972669803586, 'learning_rate': 0.0009117190844230972, 'epoch': 0.22}
{'loss': 7.041, 'grad_norm': 2.0621234665128325, 'learning_rate': 0.0009057278936400453, 'epoch': 0.22}
{'loss': 6.8503, 'grad_norm': 1.999200907067321, 'learning_rate': 0.0008995610864646028, 'epoch': 0.23}
{'loss': 6.8308, 'grad_norm': 1.8994706460166302, 'learning_rate': 0.0008932213321547768, 'epoch': 0.24}
